#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,2,18.940043
-200.0,1,18.971718
-200.0,1,19.000763
-200.0,1,19.030104
304.45,180,21.376496
-200.0,1,21.409939
-200.0,1,21.443458
-200.0,1,21.473235
227.5,81,22.546769
-200.0,1,22.577824
-200.0,1,22.609347
-200.0,1,22.639643
297.7,101,23.955865
-200.0,1,23.988211
-200.0,1,24.020435
-200.0,1,24.048116
674.75,178,26.360575
-200.0,1,26.392906
-200.0,1,26.426483
-200.0,1,26.456699
-201.55,2,26.496652
-200.0,1,26.524584
482.4,133,28.274929
-200.0,1,28.306661
-200.0,1,28.337208
-200.0,1,28.365497
1412.75,306,32.379743
-200.0,1,32.412393
-200.0,1,32.44203
-200.0,1,32.471477
338.75,154,34.480212
-200.0,1,34.50805
-200.0,1,34.535246
-200.0,1,34.562156
-200.0,1,34.589917
-200.0,1,34.61849
-200.0,1,34.646621
-200.0,1,34.675856
1093.6,357,39.348741
-200.0,1,39.379547
-200.0,1,39.41007
-200.0,1,39.44231
2933.7,523,46.720059
-200.0,1,46.748091
-200.0,1,46.776731
-200.0,1,46.807169
14.7,67,47.68289
-200.0,1,47.713712
-200.0,1,47.74359
-200.0,1,47.773479
-76.75,62,48.590278
-200.0,1,48.621334
-200.0,1,48.650681
-200.0,1,48.679769
1848.55,282,52.35336
-200.0,1,52.381373
-200.0,1,52.409865
-200.0,1,52.437723
-200.0,1,52.465918
-200.0,1,52.494164
-200.0,1,52.522431
-200.0,1,52.550221
-200.0,1,52.579094
-200.0,1,52.608949
-200.0,1,52.638611
459.7,157,54.693283
-200.0,1,54.724963
-200.0,1,54.756549
-200.0,1,54.784693
145.5,55,55.498981
-200.0,1,55.531801
-200.0,1,55.561137
-200.0,1,55.5919
-203.65,4,55.65513
-201.55,2,55.696583
-200.0,1,55.725561
-200.0,1,55.757106
-200.0,1,55.786848
4.7,105,57.158455
-200.0,1,57.189483
-200.0,1,57.219668
-200.0,1,57.248753
519.05,132,58.980594
-200.0,1,59.021185
-200.0,1,59.049352
-200.0,1,59.076567
-203.65,4,59.137922
-159.4,9,59.263717
-200.0,1,59.294632
-200.0,1,59.322796
-200.0,1,59.35186
-200.0,1,59.38064
-200.0,1,59.410061
-200.0,1,59.438755
423.1,161,61.531947
-200.0,1,61.562676
-200.0,1,61.591774
-200.0,1,61.622607
584.15,88,62.774898
-200.0,1,62.804982
-200.0,1,62.834381
-200.0,1,62.863051
918.4,193,65.379379
-200.0,1,65.411113
-200.0,1,65.443332
-200.0,1,65.473489
-43.05,100,66.782911
-200.0,1,66.813259
-200.0,1,66.844181
-200.0,1,66.874241
2848.5,539,73.923611
-200.0,1,73.954487
-200.0,1,73.984741
-200.0,1,74.012325
-200.0,1,74.041759
-200.0,1,74.068689
-200.0,1,74.09654
-200.0,1,74.126147
-200.0,1,74.156086
-200.0,1,74.185372
1361.35,264,78.038393
-200.0,1,78.070954
-200.0,1,78.100457
-200.0,1,78.129228
607.85,132,79.846666
-200.0,1,79.874721
-200.0,1,79.902981
-200.0,1,79.931282
-200.0,1,79.959924
-200.0,1,79.98862
-200.0,1,80.016778
-200.0,1,80.045396
-201.55,2,80.089056
-200.0,1,80.117408
928.7,201,82.751028
-200.0,1,82.781902
-200.0,1,82.811297
-200.0,1,82.844495
290.05,112,84.30884
-200.0,1,84.351582
-200.0,1,84.379817
-200.0,1,84.406912
625.7,173,86.639617
-200.0,1,86.670546
-200.0,1,86.699991
-200.0,1,86.729338
889.25,224,89.657836
-200.0,1,89.688861
-200.0,1,89.718744
-200.0,1,89.747639
1603.3,243,92.907981
-200.0,1,92.939331
-200.0,1,92.969306
-200.0,1,93.000782
78.8,43,93.561764
-200.0,1,93.592416
-200.0,1,93.625148
-200.0,1,93.656239
-208.85,8,93.769662
-200.0,1,93.799665
-200.0,1,93.829207
-200.0,1,93.85857
-200.0,1,93.887909
-163.75,32,94.304518
-200.0,1,94.334922
-200.0,1,94.364584
-200.0,1,94.395805
2188.4,315,98.505223
-200.0,1,98.535328
-200.0,1,98.564302
-200.0,1,98.593204
-49.0,25,98.93068
-200.0,1,98.961876
-200.0,1,98.992291
-200.0,1,99.021837
560.9,137,100.796204
-200.0,1,100.829663
-200.0,1,100.858845
-200.0,1,100.885505
1887.3,253,104.637589
-200.0,1,104.668722
-200.0,1,104.696976
-200.0,1,104.726626
-61.3,63,105.541175
-200.0,1,105.572566
-200.0,1,105.601172
-200.0,1,105.630157
-197.3,9,105.754297
-200.0,1,105.785157
-200.0,1,105.813474
-200.0,1,105.843244
-203.1,3,105.895669
-200.0,1,105.925358
-200.0,1,105.955138
-200.0,1,105.983514
1181.1,307,109.978354
-200.0,1,110.010577
-200.0,1,110.043195
-200.0,1,110.073978
578.8,173,112.342079
-200.0,1,112.374017
-200.0,1,112.406249
-200.0,1,112.436577
1879.25,360,117.122706
-200.0,1,117.154141
-200.0,1,117.184107
-200.0,1,117.214121
772.5,185,119.632471
-200.0,1,119.663678
-200.0,1,119.693336
-200.0,1,119.721756
-183.65,4,119.787004
-185.2,5,119.862229
